bar_idx,datetime,direction,stage_a,agg_decision,agg_score,agg_reason,old_decision,realR,exitype,st_nas,st_demand_supply,st_risk_sl,st_exhaustion_top,st_capitulation,st_rsi_momentum,st_bubbles,st_bull_beta,st_volume_vp,st_devils_advocate
5331,2023-06-14 06:00,LONG,bear_bounce,TAKE,3.0,SCORE,REVIEW,-1.1,STOP_LOSS,neutral,supportive,supportive,neutral,neutral,neutral,supportive,supportive,neutral,hostile
5350,2023-06-19 10:00,LONG,mid_range_noise,REVIEW,1.5,SCORE,REVIEW,-1.1,STOP_LOSS,neutral,neutral,supportive,neutral,neutral,neutral,supportive,neutral,neutral,neutral
5414,2023-07-04 02:00,NONE,mid_range_noise,SKIP,0.0,VETO,SKIP,-1.1,STOP_LOSS,neutral,hostile,hostile,hostile,neutral,supportive,neutral,neutral,hostile,veto
5435,2023-07-07 14:00,LONG,mid_range_noise,TAKE,3.0,SCORE,REVIEW,1.61,WIN_HELD,neutral,supportive,supportive,neutral,neutral,supportive,neutral,supportive,neutral,neutral
5478,2023-07-18 18:00,NONE,late_top_exhaustion,SKIP,0.0,VETO,SKIP,-1.1,STOP_LOSS,hostile,supportive,neutral,hostile,neutral,hostile,hostile,hostile,hostile,veto
5530,2023-07-31 10:00,NONE,bull_pullback_continuation,SKIP,0.0,VETO,SKIP,-1.1,STOP_LOSS,neutral,hostile,hostile,hostile,neutral,supportive,supportive,hostile,neutral,veto
5555,2023-08-04 14:00,NONE,bear_bounce,SKIP,0.0,VETO,SKIP,-1.1,STOP_LOSS,neutral,hostile,hostile,neutral,neutral,supportive,supportive,supportive,neutral,veto
5627,2023-08-22 14:00,LONG,bottom_reversal_capitulation,SKIP,0.0,VETO,REVIEW,1.96,WIN_HELD,supportive,hostile,hostile,neutral,supportive,supportive,supportive,supportive,neutral,veto
5668,2023-08-31 10:00,NONE,late_top_exhaustion,SKIP,0.0,VETO,SKIP,-1.1,STOP_LOSS,neutral,neutral,hostile,hostile,neutral,hostile,hostile,neutral,supportive,veto
5701,2023-09-07 22:00,LONG,mid_range_noise,TAKE,3.0,SCORE,TAKE,-1.1,STOP_LOSS,neutral,supportive,supportive,neutral,neutral,supportive,supportive,hostile,hostile,neutral
5724,2023-09-13 18:00,LONG,mid_range_noise,TAKE,4.5,SCORE,REVIEW,0.9,WIN_BE,neutral,neutral,supportive,supportive,supportive,supportive,supportive,supportive,hostile,hostile
5772,2023-09-25 18:00,LONG,mid_range_noise,SKIP,-1.5,SCORE,REVIEW,-1.1,STOP_LOSS,neutral,hostile,hostile,neutral,supportive,neutral,neutral,neutral,neutral,hostile
5826,2023-10-06 18:00,LONG,bottom_reversal_capitulation,TAKE,6.5,SCORE,TAKE,3.9,WIN_RUNNER,supportive,supportive,supportive,supportive,neutral,supportive,supportive,supportive,hostile,hostile
5842,2023-10-11 10:00,NONE,demand_reclaim,SKIP,0.0,VETO,SKIP,3.9,WIN_RUNNER,hostile,hostile,hostile,hostile,hostile,hostile,supportive,supportive,neutral,veto
5866,2023-10-17 10:00,NONE,late_top_exhaustion,SKIP,0.0,VETO,SKIP,2.7,WIN_HELD,hostile,neutral,hostile,hostile,hostile,hostile,hostile,neutral,neutral,veto
5875,2023-10-18 22:00,NONE,bull_pullback_continuation,SKIP,0.0,VETO,SKIP,0.93,SCRATCH,hostile,hostile,hostile,hostile,hostile,review_flag,hostile,hostile,hostile,hostile
5920,2023-10-30 10:00,NONE,bull_pullback_continuation,SKIP,0.0,VETO,SKIP,-1.1,STOP_LOSS,hostile,hostile,hostile,hostile,neutral,supportive,supportive,hostile,neutral,veto
5955,2023-11-07 07:00,LONG,bottom_reversal_capitulation,TAKE,5.0,SCORE,TAKE,-1.1,STOP_LOSS,supportive,supportive,supportive,neutral,supportive,neutral,supportive,neutral,neutral,hostile
5998,2023-11-16 11:00,LONG,demand_reclaim,REVIEW,2.5,SCORE,REVIEW,2.0,WIN_HELD,neutral,supportive,supportive,neutral,neutral,supportive,neutral,neutral,neutral,neutral
6049,2023-11-29 03:00,NONE,late_top_exhaustion,SKIP,0.0,VETO,SKIP,0.9,WIN_BE,hostile,supportive,hostile,hostile,hostile,hostile,hostile,hostile,hostile,veto
6069,2023-12-04 11:00,LONG,mid_range_noise,REVIEW,1.0,SCORE,REVIEW,-1.1,STOP_LOSS,hostile,supportive,supportive,neutral,supportive,review_flag,supportive,neutral,neutral,neutral
6119,2023-12-14 19:00,NONE,bull_pullback_continuation,SKIP,0.0,VETO,SKIP,0.31,SCRATCH,hostile,neutral,neutral,hostile,neutral,supportive,supportive,neutral,hostile,hostile
6162,2023-12-26 23:00,NONE,late_top_exhaustion,SKIP,0.0,VETO,SKIP,-1.1,STOP_LOSS,neutral,neutral,neutral,hostile,hostile,supportive,supportive,hostile,hostile,hostile
6193,2024-01-04 03:00,LONG,liquidity_sweep_reversal,TAKE,5.0,SCORE,REVIEW,-1.1,STOP_LOSS,supportive,supportive,supportive,neutral,supportive,neutral,supportive,hostile,hostile,neutral
6210,2024-01-08 23:00,LONG,demand_reclaim,TAKE,5.0,SCORE,TAKE,-1.1,STOP_LOSS,supportive,supportive,supportive,neutral,neutral,supportive,supportive,neutral,hostile,hostile
6295,2024-01-29 03:00,LONG,mid_range_noise,TAKE,3.0,SCORE,REVIEW,-0.32,SCRATCH,neutral,supportive,supportive,neutral,neutral,supportive,supportive,neutral,neutral,neutral
6362,2024-02-13 07:00,LONG,bear_bounce,SKIP,0.0,VETO,REVIEW,-1.1,STOP_LOSS,neutral,hostile,hostile,hostile,neutral,supportive,supportive,neutral,hostile,veto
6376,2024-02-15 15:00,LONG,bear_bounce,TAKE,6.5,SCORE,REVIEW,1.89,WIN_HELD,supportive,supportive,supportive,neutral,supportive,supportive,supportive,supportive,neutral,hostile
6453,2024-03-05 11:00,SHORT,late_top_exhaustion,SKIP,0.0,VETO,SKIP,0.13,SCRATCH,hostile,hostile,hostile,hostile,neutral,hostile,hostile,hostile,neutral,veto
6471,2024-03-08 11:00,SHORT,late_top_exhaustion,SKIP,0.0,VETO,SKIP,0.05,SCRATCH,hostile,supportive,neutral,hostile,neutral,hostile,hostile,hostile,neutral,veto
6489,2024-03-13 10:00,LONG,bull_pullback_continuation,SKIP,0.0,VETO,REVIEW,-1.1,STOP_LOSS,hostile,supportive,supportive,hostile,neutral,hostile,supportive,hostile,neutral,hostile
6523,2024-03-21 02:00,NONE,late_top_exhaustion,SKIP,0.0,VETO,SKIP,1.17,SCRATCH,hostile,supportive,hostile,hostile,neutral,hostile,hostile,hostile,hostile,veto
6597,2024-04-09 10:00,NONE,late_top_exhaustion,SKIP,0.0,VETO,SKIP,-1.1,STOP_LOSS,hostile,supportive,supportive,hostile,hostile,hostile,hostile,hostile,neutral,veto
6610,2024-04-11 14:00,NONE,bull_pullback_continuation,REVIEW,1.0,SCORE,SKIP,-1.1,STOP_LOSS,hostile,supportive,supportive,neutral,neutral,supportive,supportive,hostile,neutral,hostile
6711,2024-05-06 10:00,LONG,mid_range_noise,REVIEW,0.5,SCORE,REVIEW,1.78,WIN_HELD,neutral,neutral,hostile,neutral,neutral,supportive,supportive,supportive,neutral,hostile
6729,2024-05-09 10:00,LONG,bull_pullback_continuation,TAKE,3.0,SCORE,REVIEW,1.69,WIN_HELD,neutral,supportive,supportive,neutral,neutral,neutral,supportive,supportive,neutral,hostile
6741,2024-05-13 10:00,LONG,bull_pullback_continuation,SKIP,0.0,VETO,REVIEW,0.9,WIN_BE,neutral,neutral,hostile,hostile,neutral,hostile,hostile,neutral,neutral,hostile
6767,2024-05-17 18:00,NONE,late_top_exhaustion,SKIP,0.0,VETO,SKIP,-1.1,STOP_LOSS,hostile,hostile,hostile,hostile,hostile,hostile,hostile,hostile,hostile,veto
6791,2024-05-23 18:00,LONG,bottom_reversal_capitulation,TAKE,7.5,SCORE,TAKE,1.91,WIN_HELD,supportive,supportive,supportive,supportive,supportive,supportive,supportive,supportive,supportive,neutral
6819,2024-05-30 10:00,NONE,bear_bounce,SKIP,0.0,VETO,SKIP,-1.1,STOP_LOSS,neutral,hostile,hostile,neutral,neutral,neutral,neutral,supportive,neutral,veto
6832,2024-06-03 14:00,LONG,mid_range_noise,TAKE,4.5,SCORE,REVIEW,-1.1,STOP_LOSS,neutral,supportive,supportive,supportive,neutral,supportive,supportive,supportive,neutral,neutral
6844,2024-06-05 14:00,LONG,mid_range_noise,TAKE,4.0,SCORE,REVIEW,-1.1,STOP_LOSS,neutral,supportive,supportive,supportive,neutral,supportive,neutral,supportive,neutral,neutral
6887,2024-06-14 18:00,LONG,bull_pullback_continuation,REVIEW,2.5,SCORE,REVIEW,-1.1,STOP_LOSS,neutral,supportive,supportive,neutral,neutral,supportive,hostile,neutral,hostile,neutral
6908,2024-06-20 06:00,NONE,mid_range_noise,REVIEW,1.0,SCORE,SKIP,-1.1,STOP_LOSS,neutral,neutral,neutral,neutral,neutral,supportive,supportive,neutral,neutral,hostile
6923,2024-06-24 18:00,LONG,mid_range_noise,REVIEW,2.5,SCORE,REVIEW,-1.1,STOP_LOSS,neutral,supportive,supportive,neutral,neutral,neutral,supportive,neutral,hostile,hostile
6954,2024-07-01 22:00,LONG,bull_pullback_continuation,TAKE,3.0,SCORE,REVIEW,3.9,WIN_RUNNER,neutral,supportive,supportive,neutral,neutral,supportive,supportive,neutral,hostile,neutral
6962,2024-07-03 06:00,NONE,bull_pullback_continuation,SKIP,0.0,VETO,SKIP,3.16,WIN_HELD,neutral,neutral,hostile,hostile,neutral,supportive,supportive,hostile,neutral,veto
6977,2024-07-05 18:00,NONE,late_top_exhaustion,SKIP,0.0,VETO,SKIP,-1.1,STOP_LOSS,hostile,supportive,hostile,hostile,hostile,hostile,hostile,hostile,hostile,veto
6992,2024-07-10 06:00,LONG,bull_pullback_continuation,SKIP,-2.5,SCORE,REVIEW,1.78,WIN_HELD,hostile,neutral,hostile,neutral,neutral,supportive,neutral,hostile,neutral,hostile
7022,2024-07-17 06:00,NONE,late_top_exhaustion,SKIP,0.0,VETO,SKIP,-1.1,STOP_LOSS,hostile,supportive,hostile,hostile,neutral,hostile,hostile,hostile,neutral,veto
7053,2024-07-24 10:00,LONG,mid_range_noise,REVIEW,2.5,SCORE,REVIEW,-1.1,STOP_LOSS,neutral,supportive,supportive,neutral,neutral,supportive,neutral,neutral,neutral,neutral
7065,2024-07-26 10:00,LONG,bear_bounce,TAKE,6.5,SCORE,TAKE,0.9,WIN_BE,supportive,supportive,supportive,neutral,supportive,supportive,supportive,supportive,neutral,neutral
7094,2024-08-02 06:00,NONE,late_top_exhaustion,SKIP,0.0,VETO,SKIP,-1.1,STOP_LOSS,hostile,hostile,hostile,hostile,hostile,review_flag,supportive,hostile,neutral,veto
7119,2024-08-08 10:00,LONG,mid_range_noise,TAKE,3.5,SCORE,REVIEW,1.91,WIN_HELD,neutral,supportive,supportive,neutral,neutral,supportive,supportive,supportive,neutral,neutral
7129,2024-08-12 02:00,LONG,bull_pullback_continuation,REVIEW,0.5,SCORE,TAKE,0.9,WIN_BE,hostile,supportive,supportive,neutral,neutral,supportive,hostile,neutral,neutral,neutral
7149,2024-08-15 10:00,LONG,bear_bounce,SKIP,0.0,VETO,REVIEW,3.9,WIN_RUNNER,hostile,neutral,supportive,hostile,supportive,hostile,supportive,hostile,supportive,hostile
7232,2024-09-04 06:00,LONG,liquidity_sweep_reversal,SKIP,0.0,SCORE,REVIEW,3.9,WIN_RUNNER,neutral,hostile,hostile,neutral,supportive,supportive,supportive,neutral,supportive,hostile
7253,2024-09-09 18:00,LONG,mid_range_noise,SKIP,0.0,VETO,REVIEW,3.61,WIN_HELD,neutral,neutral,supportive,neutral,neutral,neutral,neutral,neutral,hostile,veto
7408,2024-10-15 14:00,NONE,bull_pullback_continuation,REVIEW,1.5,SCORE,SKIP,1.58,SCRATCH,neutral,neutral,supportive,neutral,neutral,neutral,supportive,neutral,neutral,neutral
7426,2024-10-18 14:00,NONE,late_top_exhaustion,SKIP,0.0,VETO,SKIP,0.37,SCRATCH,hostile,supportive,hostile,hostile,hostile,hostile,hostile,hostile,neutral,veto
7454,2024-10-25 06:00,LONG,bull_pullback_continuation,SKIP,0.0,VETO,REVIEW,0.9,WIN_BE,hostile,neutral,neutral,neutral,neutral,neutral,hostile,hostile,neutral,veto
7509,2024-11-07 11:00,LONG,bottom_reversal_capitulation,TAKE,4.0,SCORE,TAKE,-1.1,STOP_LOSS,supportive,neutral,neutral,neutral,supportive,supportive,supportive,neutral,neutral,neutral
7549,2024-11-18 03:00,LONG,liquidity_sweep_reversal,TAKE,3.5,SCORE,TAKE,1.5,WIN_HELD,neutral,supportive,supportive,neutral,neutral,supportive,supportive,supportive,neutral,hostile
7569,2024-11-21 11:00,NONE,bull_pullback_continuation,SKIP,0.0,VETO,SKIP,-1.1,STOP_LOSS,hostile,neutral,supportive,hostile,hostile,hostile,hostile,supportive,neutral,neutral
7577,2024-11-22 19:00,NONE,late_top_exhaustion,SKIP,0.0,VETO,SKIP,-1.1,STOP_LOSS,hostile,hostile,hostile,hostile,hostile,hostile,hostile,supportive,neutral,hostile
7662,2024-12-12 23:00,LONG,bull_pullback_continuation,SKIP,0.0,VETO,REVIEW,-1.1,STOP_LOSS,neutral,hostile,hostile,hostile,neutral,hostile,hostile,neutral,hostile,hostile
7710,2024-12-26 03:00,LONG,mid_range_noise,SKIP,0.0,VETO,REVIEW,1.21,SCRATCH,neutral,hostile,hostile,hostile,neutral,supportive,neutral,neutral,hostile,neutral
7731,2024-12-31 15:00,LONG,demand_reclaim,SKIP,0.0,SCORE,REVIEW,2.05,WIN_HELD,neutral,neutral,hostile,neutral,neutral,supportive,neutral,supportive,neutral,hostile
7765,2025-01-09 07:00,NONE,bull_pullback_continuation,SKIP,0.0,VETO,SKIP,1.44,SCRATCH,hostile,neutral,supportive,hostile,hostile,supportive,supportive,hostile,neutral,hostile
7797,2025-01-16 15:00,NONE,late_top_exhaustion,SKIP,0.0,VETO,SKIP,1.31,SCRATCH,hostile,hostile,hostile,hostile,hostile,hostile,hostile,hostile,neutral,veto
7816,2025-01-21 19:00,NONE,late_top_exhaustion,SKIP,0.0,VETO,SKIP,1.62,SCRATCH,hostile,supportive,hostile,hostile,hostile,hostile,hostile,hostile,hostile,veto
7838,2025-01-27 11:00,LONG,liquidity_sweep_reversal,SKIP,0.0,VETO,REVIEW,-1.1,STOP_LOSS,hostile,neutral,neutral,hostile,supportive,review_flag,hostile,hostile,neutral,hostile
7869,2025-02-03 15:00,NONE,bull_pullback_continuation,SKIP,0.0,VETO,SKIP,0.89,SCRATCH,hostile,neutral,supportive,hostile,neutral,review_flag,hostile,hostile,neutral,hostile
7902,2025-02-11 03:00,NONE,late_top_exhaustion,SKIP,0.0,VETO,SKIP,0.17,SCRATCH,hostile,supportive,neutral,hostile,neutral,hostile,hostile,hostile,neutral,veto
7924,2025-02-14 19:00,LONG,liquidity_sweep_reversal,REVIEW,0.5,SCORE,TAKE,3.9,WIN_BE,hostile,supportive,supportive,neutral,supportive,hostile,hostile,hostile,neutral,neutral
7933,2025-02-18 07:00,NONE,bull_pullback_continuation,SKIP,0.0,VETO,SKIP,-1.1,STOP_LOSS,hostile,hostile,hostile,hostile,neutral,supportive,supportive,hostile,hostile,hostile
7943,2025-02-19 23:00,NONE,bull_pullback_continuation,SKIP,0.0,VETO,SKIP,-1.1,STOP_LOSS,hostile,supportive,supportive,hostile,neutral,neutral,hostile,hostile,hostile,hostile
7993,2025-03-04 07:00,LONG,mid_range_noise,SKIP,0.0,VETO,REVIEW,1.16,SCRATCH,neutral,hostile,hostile,hostile,neutral,supportive,supportive,neutral,neutral,hostile
8080,2025-03-24 18:00,NONE,mid_range_noise,REVIEW,2.5,SCORE,SKIP,3.9,WIN_RUNNER,neutral,neutral,supportive,supportive,supportive,neutral,neutral,hostile,neutral,hostile
8095,2025-03-27 06:00,LONG,bull_pullback_continuation,REVIEW,1.0,SCORE,REVIEW,0.9,WIN_BE,hostile,supportive,supportive,neutral,neutral,supportive,supportive,hostile,neutral,hostile
8111,2025-03-31 22:00,NONE,late_top_exhaustion,SKIP,0.0,VETO,SKIP,-1.1,STOP_LOSS,hostile,neutral,hostile,hostile,hostile,hostile,hostile,hostile,hostile,veto
8133,2025-04-04 14:00,LONG,bottom_reversal_capitulation,TAKE,4.5,SCORE,TAKE,-1.1,STOP_LOSS,neutral,supportive,supportive,supportive,supportive,neutral,supportive,supportive,supportive,neutral
8149,2025-04-09 06:00,LONG,demand_reclaim,TAKE,4.5,SCORE,REVIEW,2.48,WIN_HELD,supportive,supportive,supportive,neutral,neutral,supportive,neutral,neutral,neutral,neutral
8157,2025-04-10 14:00,NONE,bull_pullback_continuation,SKIP,0.0,VETO,SKIP,0.57,SCRATCH,hostile,supportive,neutral,hostile,neutral,supportive,neutral,hostile,neutral,hostile
8200,2025-04-22 18:00,NONE,late_top_exhaustion,SKIP,-0.5,SCORE,SKIP,-1.1,STOP_LOSS,hostile,neutral,supportive,neutral,supportive,review_flag,hostile,hostile,neutral,hostile
8216,2025-04-25 10:00,LONG,liquidity_sweep_reversal,TAKE,3.0,SCORE,TAKE,0.9,WIN_BE,neutral,supportive,supportive,neutral,supportive,neutral,supportive,hostile,neutral,hostile
8236,2025-04-30 18:00,NONE,mid_range_noise,SKIP,-2.0,SCORE,SKIP,-1.1,STOP_LOSS,neutral,hostile,hostile,neutral,neutral,neutral,neutral,hostile,neutral,hostile
8277,2025-05-09 14:00,NONE,mid_range_noise,SKIP,-2.0,SCORE,SKIP,-1.1,STOP_LOSS,neutral,hostile,hostile,neutral,neutral,neutral,neutral,neutral,neutral,hostile
8338,2025-05-23 18:00,NONE,bull_pullback_continuation,SKIP,0.0,VETO,SKIP,-1.1,STOP_LOSS,hostile,hostile,hostile,hostile,neutral,supportive,hostile,hostile,hostile,hostile
8357,2025-05-28 22:00,LONG,bottom_reversal_capitulation,SKIP,-0.5,SCORE,REVIEW,1.78,WIN_HELD,neutral,hostile,hostile,neutral,supportive,neutral,supportive,supportive,neutral,hostile
8371,2025-06-02 06:00,NONE,bull_pullback_continuation,SKIP,0.0,VETO,SKIP,0.51,SCRATCH,neutral,neutral,hostile,hostile,neutral,supportive,supportive,hostile,neutral,hostile
8403,2025-06-09 14:00,LONG,mid_range_noise,REVIEW,1.5,SCORE,REVIEW,0.66,SCRATCH,neutral,neutral,supportive,neutral,neutral,neutral,supportive,hostile,neutral,neutral
8431,2025-06-16 06:00,NONE,bull_pullback_continuation,SKIP,0.0,VETO,SKIP,-1.1,STOP_LOSS,hostile,supportive,supportive,hostile,neutral,review_flag,supportive,hostile,neutral,neutral
8460,2025-06-23 02:00,NONE,bear_bounce,SKIP,-1.5,SCORE,SKIP,-1.1,STOP_LOSS,neutral,hostile,hostile,neutral,neutral,neutral,supportive,neutral,hostile,hostile
8479,2025-06-26 06:00,LONG,bear_bounce,TAKE,3.5,SCORE,REVIEW,-1.1,STOP_LOSS,neutral,supportive,supportive,neutral,neutral,supportive,supportive,supportive,neutral,hostile
8497,2025-07-01 06:00,NONE,mid_range_noise,SKIP,0.0,VETO,SKIP,-0.09,SCRATCH,neutral,hostile,hostile,hostile,neutral,supportive,supportive,neutral,neutral,hostile
8544,2025-07-11 06:00,LONG,bull_pullback_continuation,SKIP,0.0,VETO,REVIEW,1.01,WIN_HELD,neutral,supportive,supportive,hostile,neutral,supportive,supportive,neutral,neutral,neutral
8589,2025-07-22 18:00,NONE,late_top_exhaustion,SKIP,0.0,VETO,SKIP,-1.1,STOP_LOSS,hostile,hostile,hostile,hostile,hostile,hostile,hostile,hostile,hostile,veto
8622,2025-07-30 06:00,NONE,mid_range_noise,REVIEW,1.5,SCORE,SKIP,-1.1,STOP_LOSS,neutral,neutral,supportive,neutral,neutral,supportive,neutral,neutral,hostile,neutral
8635,2025-08-01 10:00,LONG,liquidity_sweep_reversal,TAKE,3.0,SCORE,REVIEW,-0.19,SCRATCH,neutral,supportive,supportive,neutral,neutral,supportive,supportive,neutral,neutral,neutral
8659,2025-08-07 10:00,LONG,bull_pullback_continuation,SKIP,0.0,VETO,REVIEW,-1.1,STOP_LOSS,hostile,supportive,supportive,hostile,neutral,hostile,supportive,hostile,neutral,hostile
8765,2025-09-02 02:00,NONE,late_top_exhaustion,SKIP,0.0,VETO,SKIP,1.95,WIN_HELD,hostile,supportive,hostile,hostile,hostile,hostile,hostile,hostile,neutral,veto
8823,2025-09-15 18:00,NONE,bull_pullback_continuation,SKIP,0.0,VETO,SKIP,2.05,WIN_HELD,hostile,supportive,supportive,hostile,hostile,supportive,supportive,hostile,hostile,hostile
8858,2025-09-23 14:00,NONE,late_top_exhaustion,SKIP,0.0,VETO,SKIP,1.24,SCRATCH,hostile,neutral,hostile,hostile,hostile,hostile,hostile,hostile,neutral,veto
8878,2025-09-28 22:00,LONG,demand_reclaim,REVIEW,1.0,SCORE,REVIEW,3.24,WIN_HELD,hostile,supportive,supportive,neutral,neutral,supportive,supportive,hostile,neutral,hostile
8893,2025-10-01 10:00,NONE,bull_pullback_continuation,SKIP,0.0,VETO,SKIP,2.83,WIN_HELD,hostile,supportive,supportive,hostile,neutral,review_flag,hostile,hostile,neutral,hostile
8905,2025-10-03 10:00,LONG,demand_reclaim,SKIP,0.0,VETO,REVIEW,3.9,WIN_RUNNER,hostile,supportive,supportive,hostile,neutral,hostile,hostile,hostile,neutral,hostile
8923,2025-10-08 10:00,NONE,late_top_exhaustion,SKIP,0.0,VETO,SKIP,0.9,WIN_BE,hostile,supportive,hostile,hostile,hostile,hostile,hostile,hostile,neutral,veto
8940,2025-10-13 06:00,NONE,bull_pullback_continuation,SKIP,0.0,VETO,SKIP,0.9,WIN_BE,hostile,supportive,supportive,hostile,neutral,supportive,hostile,hostile,neutral,hostile
8966,2025-10-17 14:00,LONG,late_top_exhaustion,SKIP,-0.5,SCORE,REVIEW,-1.1,STOP_LOSS,hostile,neutral,supportive,neutral,supportive,review_flag,hostile,hostile,supportive,neutral
8978,2025-10-21 14:00,LONG,late_top_exhaustion,REVIEW,2.5,SCORE,REVIEW,-1.1,STOP_LOSS,neutral,supportive,supportive,neutral,supportive,hostile,hostile,hostile,supportive,hostile
9007,2025-10-28 10:00,LONG,bottom_reversal_capitulation,TAKE,6.5,SCORE,TAKE,1.4,SCRATCH,supportive,neutral,supportive,supportive,supportive,supportive,supportive,supportive,neutral,hostile
9081,2025-11-13 19:00,LONG,demand_reclaim,SKIP,0.0,SCORE,REVIEW,-1.1,STOP_LOSS,hostile,supportive,supportive,neutral,neutral,review_flag,hostile,hostile,neutral,neutral
9105,2025-11-19 19:00,NONE,mid_range_noise,TAKE,3.0,SCORE,SKIP,1.64,WIN_HELD,neutral,supportive,supportive,neutral,neutral,supportive,supportive,neutral,hostile,neutral
9199,2025-12-11 11:00,LONG,demand_reclaim,TAKE,3.0,SCORE,REVIEW,3.9,WIN_RUNNER,neutral,supportive,supportive,neutral,neutral,supportive,supportive,hostile,neutral,hostile
9215,2025-12-16 03:00,LONG,demand_reclaim,SKIP,0.0,VETO,TAKE,3.9,WIN_RUNNER,hostile,neutral,supportive,hostile,supportive,supportive,hostile,hostile,neutral,hostile
9243,2025-12-22 19:00,NONE,late_top_exhaustion,SKIP,0.0,VETO,SKIP,-1.1,STOP_LOSS,hostile,supportive,hostile,hostile,hostile,hostile,hostile,hostile,hostile,veto
9256,2025-12-26 03:00,NONE,bull_pullback_continuation,SKIP,0.0,VETO,SKIP,-1.1,STOP_LOSS,hostile,supportive,supportive,hostile,hostile,supportive,hostile,hostile,neutral,hostile
9287,2026-01-05 07:00,LONG,demand_reclaim,SKIP,0.0,VETO,REVIEW,1.64,SCRATCH,hostile,neutral,neutral,hostile,neutral,supportive,supportive,hostile,hostile,neutral
9297,2026-01-06 23:00,NONE,bull_pullback_continuation,SKIP,0.0,VETO,SKIP,1.97,WIN_HELD,hostile,hostile,hostile,hostile,hostile,supportive,hostile,hostile,hostile,hostile
9304,2026-01-08 03:00,NONE,mid_range_noise,SKIP,0.0,VETO,SKIP,2.45,WIN_HELD,neutral,hostile,hostile,hostile,neutral,neutral,supportive,hostile,neutral,hostile
9314,2026-01-09 19:00,NONE,bull_pullback_continuation,SKIP,0.0,VETO,SKIP,3.16,WIN_HELD,hostile,neutral,hostile,hostile,neutral,supportive,supportive,hostile,hostile,veto
9329,2026-01-14 07:00,NONE,bull_pullback_continuation,SKIP,0.0,VETO,SKIP,-1.1,STOP_LOSS,hostile,supportive,supportive,hostile,hostile,review_flag,hostile,hostile,neutral,hostile
9345,2026-01-18 23:00,NONE,bull_pullback_continuation,SKIP,0.0,SCORE,SKIP,3.9,WIN_RUNNER,hostile,neutral,supportive,neutral,neutral,supportive,supportive,hostile,neutral,hostile
9368,2026-01-22 19:00,NONE,late_top_exhaustion,SKIP,0.0,VETO,SKIP,0.9,WIN_BE,hostile,supportive,neutral,hostile,hostile,hostile,hostile,hostile,hostile,veto
9390,2026-01-28 11:00,NONE,late_top_exhaustion,SKIP,0.0,VETO,SKIP,-1.1,STOP_LOSS,hostile,supportive,hostile,hostile,hostile,hostile,hostile,hostile,neutral,veto
9432,2026-02-06 11:00,NONE,mid_range_noise,SKIP,0.0,VETO,SKIP,0.09,SCRATCH,neutral,hostile,hostile,neutral,neutral,supportive,supportive,neutral,neutral,veto
9492,2026-02-20 11:00,NONE,bull_pullback_continuation,SKIP,0.0,VETO,SKIP,0.25,SCRATCH,hostile,neutral,neutral,hostile,neutral,supportive,neutral,neutral,neutral,hostile
9504,2026-02-24 11:00,LONG,bull_pullback_continuation,SKIP,-0.5,SCORE,REVIEW,0.16,SCRATCH,hostile,neutral,supportive,neutral,supportive,review_flag,hostile,hostile,neutral,hostile
9512,2026-02-25 19:00,LONG,demand_reclaim,SKIP,0.0,VETO,REVIEW,0.9,WIN_BE,hostile,neutral,neutral,hostile,neutral,supportive,hostile,hostile,neutral,veto
9523,2026-02-27 15:00,NONE,bull_pullback_continuation,REVIEW,0.5,SCORE,SKIP,-1.1,STOP_LOSS,neutral,neutral,neutral,neutral,neutral,supportive,hostile,hostile,neutral,hostile
9530,2026-03-02 19:00,NONE,bull_pullback_continuation,SKIP,-2.0,SCORE,SKIP,-1.1,STOP_LOSS,hostile,neutral,neutral,neutral,neutral,review_flag,hostile,hostile,hostile,hostile
9537,2026-03-03 23:00,LONG,bottom_reversal_capitulation,REVIEW,0.5,SCORE,REVIEW,-0.59,SCRATCH,neutral,hostile,supportive,neutral,supportive,neutral,hostile,neutral,neutral,neutral
9582,2026-03-13 10:00,NONE,bear_bounce,SKIP,-0.5,SCORE,SKIP,-1.1,STOP_LOSS,neutral,hostile,hostile,neutral,supportive,neutral,supportive,supportive,hostile,hostile
9628,2026-03-25 02:00,LONG,bear_bounce,SKIP,0.0,VETO,REVIEW,0.5,SCRATCH,supportive,neutral,neutral,hostile,neutral,supportive,supportive,neutral,hostile,veto
9646,2026-03-30 02:00,NONE,bear_bounce,SKIP,0.0,VETO,SKIP,1.24,SCRATCH,neutral,hostile,hostile,hostile,neutral,supportive,supportive,neutral,hostile,veto
9727,2026-04-17 14:00,NONE,bull_pullback_continuation,REVIEW,1.0,SCORE,SKIP,-1.11,STOP_LOSS,hostile,supportive,supportive,neutral,neutral,supportive,supportive,hostile,neutral,hostile
9805,2026-05-06 14:00,NONE,bull_pullback_continuation,SKIP,0.0,VETO,SKIP,-1.1,STOP_LOSS,hostile,hostile,hostile,hostile,neutral,supportive,supportive,supportive,neutral,hostile
