plot_id,set,datetime,leg_state,liquidity_state,context_family,confidence,supports,conflicts,reason_codes,feature_values,market_interpretation,prior_layers_used,prior_layers_conflicts,provenance_ok,final_verdict,macro_v1_family
S18,C,2023-01-11,BULL_LEG_HH_HL,LIQUIDITY_GRAB_REVERSAL_RISK,RISK,high,HH+HL|buy_side_sweep_rejection,bull-leg MAS buy-sweep=late-top-risco,HH+HL|buy_side_sweep_rejection,n_SH=5;n_SL=8;last_SH=1881.5;last_SL=1867.7;price=1884.7;HH=True;HL=True;buy_sweep=True;sell_sweep=False;reclaim=False,leg=BULL_LEG_HH_HL; liq=LIQUIDITY_GRAB_REVERSAL_RISK; contexto=RISK,bull-leg+demand_defended=suporte|bull-leg+CLEAN_SKY+momentum=bom,bull-leg MAS buy-sweep=late-top-risco,pivots_causal+smc_causal,REVIEW,BULL
S19,C,2023-08-22,CORRECTIVE_BEAR_LEG,SWEEP_AND_RECLAIM,RISK,high,HH_mas_LL=correcao|sell_sweep+reclaim,,HH_mas_LL=correcao|sell_sweep+reclaim,n_SH=11;n_SL=10;last_SH=1898.8;last_SL=1884.8;price=1897.7;HH=True;HL=False;buy_sweep=True;sell_sweep=True;reclaim=True,leg=CORRECTIVE_BEAR_LEG; liq=SWEEP_AND_RECLAIM; contexto=RISK,bear-leg+supply_rejecting=bearish,,pivots_causal+smc_causal,BLOCK,RISK
S21,C,2023-10-17,BULL_PULLBACK_WITH_HL_INTACT,LIQUIDITY_GRAB_REVERSAL_RISK,RISK,high,HH+HL|HL_intacto|pullback|buy_side_sweep_rejection,bull-leg MAS buy-sweep=late-top-risco,HH+HL|HL_intacto|pullback|buy_side_sweep_rejection,n_SH=9;n_SL=9;last_SH=1930.8;last_SL=1908.1;price=1927.8;HH=True;HL=True;buy_sweep=True;sell_sweep=False;reclaim=False,leg=BULL_PULLBACK_WITH_HL_INTACT; liq=LIQUIDITY_GRAB_REVERSAL_RISK; contexto=RISK,bull-leg+demand_defended=suporte,bull-leg MAS buy-sweep=late-top-risco,pivots_causal+smc_causal,REVIEW,BULL
S22,C,2023-11-29,BULL_LEG_HH_HL,SWEEP_AND_RECLAIM,BULL,high,HH+HL|sell_sweep+reclaim,,HH+HL|sell_sweep+reclaim,n_SH=10;n_SL=8;last_SH=2018.1;last_SL=2011.3;price=2044.6;HH=True;HL=True;buy_sweep=True;sell_sweep=True;reclaim=True,leg=BULL_LEG_HH_HL; liq=SWEEP_AND_RECLAIM; contexto=BULL,bull-leg+demand_defended=suporte|bull-leg+CLEAN_SKY+momentum=bom|sweep+reclaim+demand=reversal-possivel,,pivots_causal+smc_causal,REVIEW,BULL
S23,C,2024-05-13,BULL_PULLBACK_WITH_HL_INTACT,LIQUIDITY_GRAB_REVERSAL_RISK,RISK,high,HH+HL|HL_intacto|pullback|buy_side_sweep_rejection,bull-leg MAS buy-sweep=late-top-risco,HH+HL|HL_intacto|pullback|buy_side_sweep_rejection,n_SH=8;n_SL=8;last_SH=2378.4;last_SL=2306.6;price=2344.1;HH=True;HL=True;buy_sweep=True;sell_sweep=False;reclaim=False,leg=BULL_PULLBACK_WITH_HL_INTACT; liq=LIQUIDITY_GRAB_REVERSAL_RISK; contexto=RISK,bull-leg+demand_defended=suporte,bull-leg MAS buy-sweep=late-top-risco,pivots_causal+smc_causal,REVIEW,BULL
S28,C,2025-07-11,RANGE_TRANSITION,SWEEP_AND_RECLAIM,NEUTRO,low,HL_sem_HH|sell_sweep+reclaim,,HL_sem_HH|sell_sweep+reclaim,n_SH=7;n_SL=9;last_SH=3330.3;last_SL=3310.2;price=3339.4;HH=False;HL=True;buy_sweep=True;sell_sweep=True;reclaim=True,leg=RANGE_TRANSITION; liq=SWEEP_AND_RECLAIM; contexto=NEUTRO,sweep+reclaim+demand=reversal-possivel,,pivots_causal+smc_causal,REVIEW,BULL
S39,C,2026-01-22,BULL_LEG_HH_HL,NO_CLEAR_SWEEP,BULL,high,HH+HL|no_sweep,,HH+HL|no_sweep,n_SH=7;n_SL=7;last_SH=4888.5;last_SL=4755.6;price=4936.3;HH=True;HL=True;buy_sweep=False;sell_sweep=False;reclaim=False,leg=BULL_LEG_HH_HL; liq=NO_CLEAR_SWEEP; contexto=BULL,bull-leg+demand_defended=suporte|bull-leg+CLEAN_SKY+momentum=bom,,pivots_causal+smc_causal,REVIEW,BULL
T13,C,2021-08-11,BEAR_LEG_LH_LL,SWEEP_AND_RECLAIM,RISK,high,LH+LL|sell_sweep+reclaim,bear-leg+near-demand=TRAP(nao-suporte)|bear-leg+CLEAN_SKY=relief(nao-basta),LH+LL|sell_sweep+reclaim,n_SH=9;n_SL=10;last_SH=1738.3;last_SL=1717.7;price=1751.5;HH=False;HL=False;buy_sweep=False;sell_sweep=True;reclaim=True,leg=BEAR_LEG_LH_LL; liq=SWEEP_AND_RECLAIM; contexto=RISK,sweep+reclaim+demand=reversal-possivel,bear-leg+near-demand=TRAP(nao-suporte)|bear-leg+CLEAN_SKY=relief(nao-basta),pivots_causal+smc_causal,REVIEW,RISK
T14,C,2021-08-13,BULL_LEG_HH_HL,SWEEP_AND_RECLAIM,BULL,high,HH+HL|sell_sweep+reclaim,,HH+HL|sell_sweep+reclaim,n_SH=10;n_SL=10;last_SH=1758.2;last_SL=1741.6;price=1758.5;HH=True;HL=True;buy_sweep=True;sell_sweep=True;reclaim=True,leg=BULL_LEG_HH_HL; liq=SWEEP_AND_RECLAIM; contexto=BULL,bull-leg+demand_defended=suporte|sweep+reclaim+demand=reversal-possivel,,pivots_causal+smc_causal,REVIEW,RISK
T19,C,2022-01-10,BEAR_LEG_LH_LL,SWEEP_AND_RECLAIM,RISK,high,LH+LL|sell_sweep+reclaim,bear-leg+near-demand=TRAP(nao-suporte),LH+LL|sell_sweep+reclaim,n_SH=6;n_SL=10;last_SH=1798.7;last_SL=1782.6;price=1800.2;HH=False;HL=False;buy_sweep=True;sell_sweep=True;reclaim=True,leg=BEAR_LEG_LH_LL; liq=SWEEP_AND_RECLAIM; contexto=RISK,sweep+reclaim+demand=reversal-possivel,bear-leg+near-demand=TRAP(nao-suporte),pivots_causal+smc_causal,REVIEW,RISK
T27,C,2022-07-18,RANGE_TRANSITION,SWEEP_AND_RECLAIM,NEUTRO,low,HL_sem_HH|sell_sweep+reclaim,,HL_sem_HH|sell_sweep+reclaim,n_SH=9;n_SL=10;last_SH=1716.5;last_SL=1699.1;price=1719.0;HH=False;HL=True;buy_sweep=True;sell_sweep=True;reclaim=True,leg=RANGE_TRANSITION; liq=SWEEP_AND_RECLAIM; contexto=NEUTRO,sweep+reclaim+demand=reversal-possivel,,pivots_causal+smc_causal,TRANSFORM,RISK
T32,C,2024-04-11,CORRECTIVE_BEAR_LEG,SWEEP_AND_RECLAIM,RISK,high,HH_mas_LL=correcao|sell_sweep+reclaim,bear-leg+near-demand=TRAP(nao-suporte)|bear-leg+CLEAN_SKY=relief(nao-basta),HH_mas_LL=correcao|sell_sweep+reclaim,n_SH=9;n_SL=7;last_SH=2365.3;last_SL=2319.4;price=2356.3;HH=True;HL=False;buy_sweep=True;sell_sweep=True;reclaim=True,leg=CORRECTIVE_BEAR_LEG; liq=SWEEP_AND_RECLAIM; contexto=RISK,sweep+reclaim+demand=reversal-possivel,bear-leg+near-demand=TRAP(nao-suporte)|bear-leg+CLEAN_SKY=relief(nao-basta),pivots_causal+smc_causal,REVIEW,BULL
T33,C,2024-05-09,BULL_PULLBACK_WITH_HL_INTACT,SWEEP_AND_RECLAIM,BULL,high,HH+HL|HL_intacto|pullback|sell_sweep+reclaim,,HH+HL|HL_intacto|pullback|sell_sweep+reclaim,n_SH=8;n_SL=8;last_SH=2332.0;last_SL=2303.6;price=2324.4;HH=True;HL=True;buy_sweep=True;sell_sweep=True;reclaim=True,leg=BULL_PULLBACK_WITH_HL_INTACT; liq=SWEEP_AND_RECLAIM; contexto=BULL,bull-leg+demand_defended=suporte|sweep+reclaim+demand=reversal-possivel,,pivots_causal+smc_causal,REVIEW,BULL
T34,C,2024-06-14,BEAR_LEG_LH_LL,SWEEP_AND_RECLAIM,RISK,high,LH+LL|sell_sweep+reclaim,bear-leg+near-demand=TRAP(nao-suporte),LH+LL|sell_sweep+reclaim,n_SH=9;n_SL=7;last_SH=2326.7;last_SL=2295.6;price=2332.7;HH=False;HL=False;buy_sweep=True;sell_sweep=True;reclaim=True,leg=BEAR_LEG_LH_LL; liq=SWEEP_AND_RECLAIM; contexto=RISK,sweep+reclaim+demand=reversal-possivel,bear-leg+near-demand=TRAP(nao-suporte),pivots_causal+smc_causal,PROTECT,BULL
T36,C,2025-03-27,RANGE_TRANSITION,SWEEP_AND_RECLAIM,NEUTRO,low,HL_sem_HH|sell_sweep+reclaim,,HL_sem_HH|sell_sweep+reclaim,n_SH=9;n_SL=8;last_SH=3032.0;last_SL=3012;price=3039.9;HH=False;HL=True;buy_sweep=True;sell_sweep=True;reclaim=True,leg=RANGE_TRANSITION; liq=SWEEP_AND_RECLAIM; contexto=NEUTRO,sweep+reclaim+demand=reversal-possivel,,pivots_causal+smc_causal,PROTECT,BULL
