episode_id,context_label,demand_supply,capitulation,exhaustion_top,volume_vp,nas,bubbles,rsi_momentum,risk_sl,bull_beta,devils_advocate
9432,mid_range_noise,hostile,neutral,neutral,neutral,neutral,supportive,supportive,hostile,neutral,veto
9492,bull_pullback_continuation,neutral,neutral,hostile,neutral,hostile,neutral,supportive,neutral,neutral,hostile
9504,bull_pullback_continuation,neutral,supportive,neutral,neutral,hostile,hostile,review_flag,supportive,hostile,hostile
9512,demand_reclaim,neutral,neutral,hostile,neutral,hostile,hostile,supportive,neutral,hostile,veto
9523,bull_pullback_continuation,neutral,neutral,neutral,neutral,neutral,hostile,supportive,neutral,hostile,hostile
9530,bull_pullback_continuation,neutral,neutral,neutral,hostile,hostile,hostile,review_flag,neutral,hostile,hostile
9537,bottom_reversal_capitulation,hostile,supportive,neutral,neutral,neutral,hostile,neutral,supportive,neutral,neutral
9582,bear_bounce,hostile,supportive,neutral,hostile,neutral,supportive,neutral,hostile,supportive,hostile
9628,bear_bounce,neutral,neutral,hostile,hostile,supportive,supportive,supportive,neutral,neutral,veto
9646,bear_bounce,hostile,neutral,hostile,hostile,neutral,supportive,supportive,hostile,neutral,veto
9727,bull_pullback_continuation,supportive,neutral,neutral,neutral,hostile,supportive,supportive,supportive,hostile,hostile
9805,bull_pullback_continuation,hostile,neutral,hostile,neutral,hostile,supportive,supportive,hostile,supportive,hostile
